date,Z,day_true,sig
2024-07-09,-391.292299761241,1,True
2024-07-10,-176.58316817500346,1,True
2024-07-11,-290.4962080427527,1,True
2024-07-14,-308.95173581083867,1,True
2024-07-15,-376.03191236933543,1,True
2024-07-16,-379.0114542761809,1,True
2024-07-17,-376.45033138421275,0,True
2024-07-18,-342.1230052029764,1,True
2024-07-21,-393.63202308985683,1,True
2024-07-22,-465.18497536872997,1,True
2024-07-23,-427.5374591690637,1,True
2024-07-24,-362.6586058370988,1,True
2024-07-25,-399.3941111079016,1,True
2024-07-28,-316.7023496936597,1,True
2024-07-31,-322.73763134031014,1,True
2024-08-01,-231.29380020949017,1,True
2024-08-04,-408.9733871822233,1,True
2024-08-05,-351.71514194374373,1,True
2024-08-06,-485.4182985581732,1,True
2024-08-07,-408.57892655665194,1,True
2024-08-08,-361.89305557360586,1,True
2024-08-11,-344.93529075411686,1,True
2024-08-12,-347.39475607736375,1,True
2024-08-13,-259.002193667351,1,True
2024-08-14,-256.1820791839525,1,True
2024-08-15,-303.211909408185,1,True
2024-08-18,-380.4953598227818,1,True
2024-08-19,-254.27785881303598,1,True
2024-08-20,-450.2562272508411,1,True
2024-08-21,-312.3389103858784,1,True
2024-08-22,-187.22215500357208,1,True
2024-08-25,-322.3579958626781,1,True
2024-08-26,-426.77281678215803,1,True
2024-08-27,-417.99323397487467,1,True
2024-08-28,-348.2549444386215,1,True
2024-08-29,-392.3422381045462,1,True
2024-09-01,-313.42446571906015,1,True
2024-09-02,-279.34032963586884,1,True
2024-09-03,-335.75712791961325,1,True
2024-09-04,-376.83522027439676,1,True
2024-09-05,-295.4691837498609,1,True
2024-09-08,-371.1615639447898,1,True
2024-09-09,-418.47425549904824,1,True
2024-09-10,-251.51671836332167,1,True
2024-09-11,-270.33422419768453,1,True
2024-09-12,-429.8857190239376,1,True
2024-09-15,-335.3143332940364,1,True
2024-09-16,-365.3409806590231,1,True
2024-09-17,-237.46967964109652,1,True
2024-09-18,-354.03267416966304,1,True
2024-09-19,-375.3997565100937,1,True
2024-09-22,-420.54999378741496,1,True
2024-09-23,-420.6855561134286,1,True
2024-09-24,-360.7791765735322,1,True
2024-09-25,-269.449136196528,1,True
2024-09-26,-354.69233071849624,1,True
2024-09-29,-379.7158634672113,1,True
2024-09-30,-275.01607243126927,1,True
2024-10-01,-337.1678154541547,1,True
2024-10-02,-425.54590072749295,1,True
2024-10-03,-287.6352949799573,1,True
2024-10-06,-320.3592549399082,1,True
2024-10-07,-418.03266473431387,1,True
2024-10-08,-429.7045465782266,0,True
2024-10-09,-384.41245421442164,1,True
2024-10-10,-452.4658952796268,1,True
2024-10-13,-332.61159735964026,1,True
2024-10-14,-399.54789404702007,1,True
2024-10-15,-362.4828337675561,1,True
2024-10-16,-464.83274812503987,1,True
2024-10-17,-439.25870326856653,1,True
2024-10-20,-380.50265481718037,1,True
2024-10-21,-470.18764041861743,1,True
2024-10-22,-332.5464507607886,1,True
2024-10-23,-322.7905718971586,1,True
2024-10-24,-364.8388663234334,1,True
2024-10-27,-436.91715297261254,1,True
2024-10-28,-426.06172023126436,1,True
2024-10-29,-286.86875934852657,1,True
2024-10-30,-327.88371170189976,1,True
2024-10-31,-374.4867695024476,1,True
2024-11-03,-405.85963944444796,1,True
2024-11-04,-439.0531621558092,1,True
2024-11-05,-321.8865145566235,1,True
2024-11-06,-366.0177223227253,1,True
